zip,premium,state
98001,"$1,111",Washington
98002,"$1,127",Washington
98003,"$1,116",Washington
98004,"$1,062",Washington
98005,"$1,073",Washington
98006,"$1,049",Washington
98007,"$1,057",Washington
98008,"$1,065",Washington
98010,"$1,153",Washington
98011,"$1,111",Washington
98012,"$1,105",Washington
98014,"$1,096",Washington
98019,"$1,098",Washington
98020,"$1,097",Washington
98021,"$1,096",Washington
98022,"$1,156",Washington
98023,"$1,114",Washington
98024,"$1,108",Washington
98026,"$1,124",Washington
98027,"$1,098",Washington
98028,"$1,125",Washington
98029,"$1,084",Washington
98030,"$1,127",Washington
98031,"$1,126",Washington
98032,"$1,112",Washington
98033,"$1,094",Washington
98034,"$1,113",Washington
98036,"$1,082",Washington
98037,"$1,091",Washington
98038,"$1,136",Washington
98039,"$1,066",Washington
98040,"$1,101",Washington
98042,"$1,105",Washington
98043,"$1,085",Washington
98045,"$1,117",Washington
98047,"$1,112",Washington
98050,"$1,190",Washington
98051,"$1,147",Washington
98052,"$1,091",Washington
98053,"$1,081",Washington
98055,"$1,152",Washington
98056,"$1,102",Washington
98057,"$1,133",Washington
98058,"$1,102",Washington
98059,"$1,095",Washington
98065,"$1,115",Washington
98068,"$1,188",Washington
98070,"$1,074",Washington
98072,"$1,100",Washington
98074,"$1,082",Washington
98075,"$1,080",Washington
98077,"$1,096",Washington
98087,"$1,091",Washington
98092,"$1,150",Washington
98101,"$1,058",Washington
98102,"$1,051",Washington
98103,"$1,052",Washington
98104,"$1,073",Washington
98105,"$1,053",Washington
98106,"$1,100",Washington
98107,"$1,026",Washington
98108,"$1,101",Washington
98109,"$1,031",Washington
98110,"$1,045",Washington
98112,"$1,083",Washington
98115,"$1,058",Washington
98116,"$1,087",Washington
98117,"$1,031",Washington
98118,"$1,112",Washington
98119,"$1,034",Washington
98121,"$1,065",Washington
98122,"$1,084",Washington
98125,"$1,070",Washington
98126,"$1,093",Washington
98133,"$1,062",Washington
98134,"$1,104",Washington
98136,"$1,089",Washington
98144,"$1,117",Washington
98146,"$1,088",Washington
98148,"$1,117",Washington
98154,"$1,097",Washington
98155,"$1,072",Washington
98158,"$1,117",Washington
98164,"$1,097",Washington
98166,"$1,121",Washington
98168,"$1,140",Washington
98174,"$1,073",Washington
98177,"$1,034",Washington
98178,"$1,116",Washington
98188,"$1,143",Washington
98195,"$1,159",Washington
98198,"$1,123",Washington
98199,"$1,037",Washington
98201,"$1,142",Washington
98203,"$1,129",Washington
98204,"$1,144",Washington
98207,$0,Washington
98208,"$1,137",Washington
98220,"$1,036",Washington
98221,"$1,040",Washington
98222,"$1,068",Washington
98223,"$1,145",Washington
98224,"$1,123",Washington
98225,"$1,052",Washington
98226,"$1,042",Washington
98229,"$1,045",Washington
98230,"$1,054",Washington
98232,"$1,056",Washington
98233,"$1,049",Washington
98235,"$1,054",Washington
98236,"$1,101",Washington
98237,"$1,031",Washington
98238,$0,Washington
98239,"$1,082",Washington
98240,"$1,051",Washington
98241,"$1,137",Washington
98243,"$1,016",Washington
98244,"$1,039",Washington
98245,"$1,044",Washington
98247,"$1,043",Washington
98248,"$1,053",Washington
98249,"$1,105",Washington
98250,"$1,046",Washington
98251,"$1,159",Washington
98252,"$1,152",Washington
98253,"$1,089",Washington
98255,"$1,135",Washington
98256,"$1,156",Washington
98257,"$1,053",Washington
98258,"$1,132",Washington
98260,"$1,103",Washington
98261,"$1,054",Washington
98262,"$1,061",Washington
98263,"$1,137",Washington
98264,"$1,040",Washington
98266,"$1,043",Washington
98267,"$1,038",Washington
98270,"$1,141",Washington
98271,"$1,144",Washington
98272,"$1,139",Washington
98273,"$1,053",Washington
98274,"$1,060",Washington
98275,"$1,124",Washington
98276,"$1,122",Washington
98277,"$1,072",Washington
98278,"$1,154",Washington
98279,"$1,046",Washington
98280,$0,Washington
98281,"$1,065",Washington
98282,"$1,099",Washington
98283,"$1,042",Washington
98284,"$1,050",Washington
98286,"$1,066",Washington
98288,"$1,118",Washington
98290,"$1,137",Washington
98292,"$1,144",Washington
98294,"$1,156",Washington
98295,"$1,018",Washington
98296,"$1,147",Washington
98297,"$1,066",Washington
98303,"$1,110",Washington
98304,"$1,187",Washington
98305,"$1,067",Washington
98310,"$1,051",Washington
98311,"$1,056",Washington
98312,"$1,064",Washington
98314,"$1,120",Washington
98315,"$1,024",Washington
98320,"$1,094",Washington
98321,"$1,189",Washington
98323,"$1,192",Washington
98325,"$1,094",Washington
98326,"$1,067",Washington
98327,"$1,128",Washington
98328,"$1,196",Washington
98329,"$1,099",Washington
98330,"$1,209",Washington
98331,"$1,074",Washington
98332,"$1,100",Washington
98333,"$1,079",Washington
98335,"$1,082",Washington
98336,"$1,122",Washington
98337,"$1,037",Washington
98338,"$1,202",Washington
98339,"$1,093",Washington
98340,"$1,029",Washington
98342,"$1,021",Washington
98345,"$1,013",Washington
98346,"$1,023",Washington
98349,"$1,115",Washington
98350,"$1,048",Washington
98351,"$1,111",Washington
98353,$0,Washington
98354,"$1,160",Washington
98355,"$1,129",Washington
98356,"$1,120",Washington
98357,"$1,075",Washington
98358,"$1,092",Washington
98359,"$1,035",Washington
98360,"$1,197",Washington
98361,"$1,108",Washington
98362,"$1,050",Washington
98363,"$1,057",Washington
98364,"$1,013",Washington
98365,"$1,084",Washington
98366,"$1,015",Washington
98367,"$1,042",Washington
98368,"$1,084",Washington
98370,"$1,013",Washington
98371,"$1,161",Washington
98372,"$1,171",Washington
98373,"$1,164",Washington
98374,"$1,163",Washington
98375,"$1,169",Washington
98376,"$1,096",Washington
98377,"$1,107",Washington
98380,"$1,023",Washington
98381,"$1,070",Washington
98382,"$1,058",Washington
98383,"$1,017",Washington
98385,"$1,179",Washington
98387,"$1,189",Washington
98388,"$1,127",Washington
98390,"$1,177",Washington
98391,"$1,167",Washington
98392,"$1,021",Washington
98394,"$1,117",Washington
98396,"$1,192",Washington
98402,"$1,214",Washington
98403,"$1,133",Washington
98404,"$1,200",Washington
98405,"$1,193",Washington
98406,"$1,130",Washington
98407,"$1,131",Washington
98408,"$1,217",Washington
98409,"$1,223",Washington
98416,"$1,224",Washington
98418,"$1,215",Washington
98421,"$1,201",Washington
98422,"$1,191",Washington
98424,"$1,171",Washington
98430,$0,Washington
98433,"$1,149",Washington
98438,$0,Washington
98439,"$1,167",Washington
98443,"$1,175",Washington
98444,"$1,167",Washington
98445,"$1,168",Washington
98446,"$1,176",Washington
98447,"$1,257",Washington
98465,"$1,129",Washington
98466,"$1,134",Washington
98467,"$1,135",Washington
98498,"$1,140",Washington
98499,"$1,163",Washington
98501,"$1,095",Washington
98502,"$1,092",Washington
98503,"$1,091",Washington
98506,"$1,074",Washington
98512,"$1,091",Washington
98513,"$1,099",Washington
98516,"$1,077",Washington
98520,"$1,151",Washington
98524,"$1,154",Washington
98526,"$1,189",Washington
98527,"$1,163",Washington
98528,"$1,130",Washington
98530,"$1,109",Washington
98531,"$1,101",Washington
98532,"$1,107",Washington
98533,"$1,117",Washington
98535,"$1,166",Washington
98536,"$1,159",Washington
98537,"$1,154",Washington
98538,"$1,114",Washington
98541,"$1,151",Washington
98542,"$1,111",Washington
98544,"$1,186",Washington
98546,"$1,158",Washington
98547,"$1,170",Washington
98548,"$1,153",Washington
98550,"$1,157",Washington
98552,"$1,172",Washington
98555,"$1,150",Washington
98557,"$1,147",Washington
98558,"$1,266",Washington
98559,"$1,151",Washington
98560,"$1,162",Washington
98562,"$1,166",Washington
98563,"$1,166",Washington
98564,"$1,124",Washington
98565,$0,Washington
98568,"$1,156",Washington
98569,"$1,159",Washington
98570,"$1,108",Washington
98571,"$1,168",Washington
98572,"$1,119",Washington
98575,"$1,171",Washington
98576,"$1,130",Washington
98577,"$1,173",Washington
98579,"$1,108",Washington
98580,"$1,207",Washington
98581,"$1,081",Washington
98582,"$1,117",Washington
98583,"$1,220",Washington
98584,"$1,152",Washington
98585,"$1,122",Washington
98586,"$1,164",Washington
98587,"$1,177",Washington
98588,"$1,158",Washington
98589,"$1,130",Washington
98590,"$1,176",Washington
98591,"$1,118",Washington
98592,"$1,152",Washington
98593,"$1,111",Washington
98595,"$1,158",Washington
98596,"$1,112",Washington
98597,"$1,140",Washington
98601,"$1,090",Washington
98602,"$1,160",Washington
98603,"$1,087",Washington
98604,"$1,071",Washington
98605,"$1,097",Washington
98606,"$1,070",Washington
98607,"$1,067",Washington
98610,"$1,118",Washington
98611,"$1,083",Washington
98612,"$1,116",Washington
98613,"$1,184",Washington
98614,"$1,148",Washington
98616,"$1,102",Washington
98617,"$1,154",Washington
98619,"$1,151",Washington
98620,"$1,140",Washington
98621,"$1,115",Washington
98624,"$1,164",Washington
98625,"$1,088",Washington
98626,"$1,091",Washington
98628,"$1,155",Washington
98629,"$1,074",Washington
98631,"$1,171",Washington
98632,"$1,079",Washington
98635,"$1,155",Washington
98638,"$1,172",Washington
98639,"$1,149",Washington
98640,"$1,168",Washington
98641,"$1,165",Washington
98642,"$1,069",Washington
98643,"$1,114",Washington
98644,"$1,171",Washington
98645,"$1,096",Washington
98647,"$1,115",Washington
98648,"$1,129",Washington
98649,"$1,103",Washington
98650,"$1,147",Washington
98651,"$1,121",Washington
98660,"$1,066",Washington
98661,"$1,063",Washington
98662,"$1,070",Washington
98663,"$1,070",Washington
98664,"$1,065",Washington
98665,"$1,066",Washington
98670,"$1,187",Washington
98671,"$1,087",Washington
98672,"$1,134",Washington
98673,"$1,143",Washington
98674,"$1,072",Washington
98675,"$1,080",Washington
98682,"$1,067",Washington
98683,"$1,058",Washington
98684,"$1,063",Washington
98685,"$1,066",Washington
98686,"$1,071",Washington
98801,"$1,227",Washington
98802,"$1,220",Washington
98811,"$1,218",Washington
98812,"$1,235",Washington
98813,"$1,239",Washington
98814,"$1,245",Washington
98815,"$1,212",Washington
98816,"$1,222",Washington
98817,"$1,219",Washington
98819,"$1,238",Washington
98821,"$1,212",Washington
98822,"$1,217",Washington
98823,"$1,222",Washington
98824,$0,Washington
98826,"$1,200",Washington
98827,"$1,264",Washington
98828,"$1,210",Washington
98829,$0,Washington
98830,"$1,238",Washington
98831,"$1,218",Washington
98832,"$1,241",Washington
98833,"$1,237",Washington
98834,"$1,253",Washington
98836,"$1,217",Washington
98837,"$1,225",Washington
98840,"$1,237",Washington
98841,"$1,238",Washington
98843,"$1,257",Washington
98844,"$1,228",Washington
98845,"$1,235",Washington
98846,"$1,233",Washington
98847,"$1,215",Washington
98848,"$1,229",Washington
98849,"$1,240",Washington
98850,"$1,224",Washington
98851,"$1,226",Washington
98852,"$1,233",Washington
98853,"$1,224",Washington
98855,"$1,235",Washington
98856,"$1,223",Washington
98857,"$1,221",Washington
98858,"$1,230",Washington
98859,"$1,246",Washington
98860,$0,Washington
98862,"$1,217",Washington
98901,"$1,253",Washington
98902,"$1,253",Washington
98903,"$1,249",Washington
98908,"$1,248",Washington
98921,$0,Washington
98922,"$1,237",Washington
98923,"$1,239",Washington
98925,"$1,235",Washington
98926,"$1,213",Washington
98930,"$1,240",Washington
98932,"$1,266",Washington
98933,"$1,248",Washington
98934,$0,Washington
98935,"$1,250",Washington
98936,"$1,269",Washington
98937,"$1,232",Washington
98938,"$1,273",Washington
98939,"$1,338",Washington
98940,"$1,235",Washington
98941,"$1,236",Washington
98942,"$1,239",Washington
98943,"$1,236",Washington
98944,"$1,266",Washington
98946,"$1,217",Washington
98947,"$1,239",Washington
98948,"$1,266",Washington
98950,"$1,223",Washington
98951,"$1,263",Washington
98952,"$1,240",Washington
98953,"$1,264",Washington
99001,"$1,075",Washington
99003,"$1,110",Washington
99004,"$1,093",Washington
99005,"$1,092",Washington
99006,"$1,114",Washington
99008,"$1,225",Washington
99009,"$1,154",Washington
99011,"$1,082",Washington
99012,"$1,112",Washington
99013,"$1,175",Washington
99016,"$1,089",Washington
99017,"$1,171",Washington
99018,"$1,121",Washington
99019,"$1,091",Washington
99020,"$1,111",Washington
99021,"$1,089",Washington
99022,"$1,075",Washington
99023,"$1,147",Washington
99025,"$1,089",Washington
99026,"$1,107",Washington
99027,"$1,080",Washington
99029,"$1,164",Washington
99030,"$1,113",Washington
99031,"$1,102",Washington
99032,"$1,219",Washington
99033,"$1,136",Washington
99034,"$1,176",Washington
99036,"$1,088",Washington
99037,"$1,088",Washington
99039,"$1,193",Washington
99040,"$1,184",Washington
99101,"$1,162",Washington
99102,"$1,137",Washington
99103,"$1,233",Washington
99105,"$1,219",Washington
